Date,Word,Page,Count,Text,Example,Definition,Synonym,WordFinder,Memo
826,monumental,85,1,Your route begins among condo buildings and monumental stone architechture.,We have a monumental task ahead of us.,"very important and having great influence, especially as the result of years of work/very large, good, bad, stupie, etc.","historic, major",,
826,perimeter,85,1,"Many of commuters who follow this route up through Petworth don't realize that just couple of blocks to the east, hidden behind a concrete perimeter wall and agatehouse manned by a soldier, is a pocket of calm.",perimeter fense/track/wall,the outside edge of an area of land/the toal length of the outside edge of an area or a shape,,,
826,manned,85,1,"Many of commuters who follow this route up through Petworth don't realize that just couple of blocks to the east, hidden behind a concrete perimeter wall and agatehouse manned by a soldier, is a pocket of calm.",manned space flight,"if a machine, a vehicle, a place or an activity is manned, it has or needs a person to control or operate it",,,
826,pocket+of+calm,85,1,"Many of commuters who follow this route up through Petworth don't realize that just couple of blocks to the east, hidden behind a concrete perimeter wall and agatehouse manned by a soldier, is a pocket of calm.",,"a calm space, a quiet state",,,a book by Radhika Sanghani?
826,congress,85,1,"The property is the Armed Forces Retirement House, which has been located here in the heights overlooking downtown DC since 1851, when, under pressure from Congress, the federal government bought the from banker George Riggs to build a home for disabled veterans of the contry's recent wars.",Congress will vote to the proposals tomorrow.,"a large formal meeting or series of meetings where representatives from defferent groups discuss ideas, make decisions, etc/the name of group of people who are elected to make laws, in the US consisting of the Senate and the House of Representatives.",,"caucus, house of representatives, senate, swing state",
826,sprawl,86,1,"Today the city sprawls well behind the property, but when you pull through its main gates, as I did on an unseasonably warm fall afternoon while researching this book, its ability to provede a sense of escape remained intact.",,to sit or lie with your arms and legs spread out in a relaxed or awkward way / He was sprawling in an armchair in front of the TV. / The town sprawled along the side of the lake.,,,
1027,untidy,-,1,-,Why do you have to be so untidy?,not neat or well arranged; in a state of confusion/not keeping things near or well organized,,,
826,intact,86,1,"Today the city sprawls well behind the property, but when you pull through its main gates, as I did on an unseasonably warm fall afternoon while researching this book, its ability to provide a sense of escape remained intact.",Most of the house remain intact even after two hundred years.,complete and not damaged,undamaged,,
826,lawn,86,1,"As I drove onto the grounds, the noise of the city diminished: there were green lawns, old trees, chirping birds, and the laughter of children from a nearby charter school playing on a playground.",In summer we have to mow lawn twice a week.,"an area of ground covered in short grass in a garden/yard or park, or used for playing a game on",,,
826,chirp,86,1,"As I drove onto the grounds, the noise of the city diminished: there were green lawns, old trees, chirping birds, and the laughter of children from a nearby charter school playing on a playground.",,to make short high sounds/to speek in a lively and cheerful way,,,
826,recapture,86,1,"As I turned into a visitors' parking lot, I cought my first glimpse of what I had come to see, the sprawling, thirty-five-room Gothic Revival-style cottage originally built by George Riggs and recently restored to recapture how it would have appeared in the 1860s.",,"to win back a place, position, etc. that was previously taken from you by an enemy or a rival/to catch a person or an animal that has escaped/to bring back a feeling or repeat an experience that you had in the past",,,
826,reflection,86,1,A growing amount of research suggests that the time and space for quiet reflection the cottage enabled may have played a key role in helping Lincoln make sense of the traumas of the Civil War and tackle the hard dicisions he faced.,She decided on reflection to accept his offer after all.,"careful thought about sth, sometimes over a long period of time",,,
826,trauma,86,1,A growing amount of research suggests that the time and space for quiet reflection the cottage enabled may have played a key role in helping Lincoln make sense of the traumas of the Civil War and tackle the hard dicisions he faced.,She felt exhausted after the traumas of recent weeks./The patient suffered severe brain trauma.,"a mental condition caused by severe shock, especially when the harmful effects last for a long time/an unpleasant experience that makes you feel upset and(or) anxious/an injury",,,
